username,userid,profile_location,created_at,text,retweet_count,source,coordinates
BunnyWorldFoundation,35686106,"Los Angeles, CA",2023-01-23 05:41:12,"🐰Happy Chinese New Year 2023!💝(This image doesn't exist anywhere else on the internet -- it's a unique, cut-paper a… https://t.co/3JgzQ4oFD9",0,Twitter Web App,
Long Beach Unified School District,1363089902,"Long Beach, California",2023-01-23 05:40:33,"🎆 #LunarNewYear is one of the most important celebrations of the year amongst East and Southeast Asian cultures, in… https://t.co/bgZ3xSx5ka",4,Loomly,
Sean O,410385909,"Los Angeles, CA",2023-01-23 05:33:23,"My fortune on Chinese New Year 🧧 
I think there is a grammar error or this was written by someone learning English.… https://t.co/0Jb9JSIgSd",0,Twitter for iPhone,
Diana🌜✨🔭,1315488192,"Los Angeles, CA",2023-01-23 05:22:16,"#MoonHour®

When nature and the Moon join to celebrate a New Year. A bit of history behind this unique Asian tradit… https://t.co/RxfG3R9t4r",0,Twitter for iPhone,
Hood News,19949792,Los Angeles,2023-01-23 05:22:03,Happy Chinese New Year 2023=7 Year of the Rabbit!,0,Twitter for iPhone,
Capo Valley HS,4026467413,"Mission Viejo, CA.",2023-01-23 05:21:22,Happy Lunar New Year! Lunar New Year or Chinese New Year is the festival that celebrates the beginning of a new yea… https://t.co/u9JOV7Ml3m,0,Twitter for iPhone,
parhami@ece.ucsb.edu,890303605483483137,"Santa Barbara, CA",2023-01-23 05:15:17,"Final thought for the day:
Happy Chinese/lunar new year! And welcome to the year of the rabbit. Unfortunately, what… https://t.co/QcTmFmz509",0,Twitter Web App,
❤ Cassey Ho ❤,168939370,Los Angeles,2023-01-23 05:11:15,"Although I wish you all a happy Lunar New Year, I’m sad that the the year had to start off the way it did. Last nig… https://t.co/sH0As7Bydh",1,TweetDeck,
FuFu Bunny,956272912201261056,"Los Angeles, CA",2023-01-23 05:10:58,"@britishmuseum As a person who has a beauty gently manner, we would say PLEASE STOP appropriating culture. It’s Chi… https://t.co/fp2av4cWhj",0,Twitter for iPhone,
News Channel 3-12,582280139,Santa Barbara,2023-01-23 05:00:06,"The Chinese Lunar New Year, which kicked off Sunday, is the Year of the Rabbit, a year that is predicted to bring p… https://t.co/m7FAJ58tO2",0,SocialNewsDesk,
PabloPoloPipes🖕🏼💀🖕🏼,1283943679426625536,Santa Ana CA,2023-01-23 04:57:16,@malcolmxbox1 Chinese new year weekend I think,0,Twitter for Android,
Yan Zhang Clinic & Hospital,1025663238,"San Bernardino, CA",2023-01-23 04:50:43,It is so devastating and unbelievable of the massacre in Monterey park on Chinese New Year of 2023. My heart are wi… https://t.co/wA9edC4Uui,0,Twitter for Android,
Arcadia 👾,1577593440678051841,Arcadia,2023-01-23 04:46:08,"Happy Chinese New Year, familia! What are your hopes for this year of the rabbit? 🐇 #HCNY #ChineseNewYear2023 https://t.co/7DwFaIIe73",0,Twitter Web App,
"Need Justice, Conscience for GTA Condo Community",1052383878168506368,"Ontario, CA",2023-01-23 04:45:12,"@JustinTrudeau Yes, Thanks a lot for Doug Ford to be happy with Chines Lunar new year in Ontario. But these works i… https://t.co/CTM9Qy2bOS",0,Twitter Web App,
"Need Justice, Conscience for GTA Condo Community",1052383878168506368,"Ontario, CA",2023-01-23 04:44:42,"@fordnation Yes, Thanks a lot for Doug Ford to be happy with Chines Lunar new year in Ontario. But these works is n… https://t.co/FsAglQtlbu",0,Twitter Web App,
VOICE,1322983466,"Riverside, CA",2023-01-23 04:44:27,"Shooting in LA’s Monterey Park leaves 10 dead, scores injured

A gunman walked into a Monterey Park ballroom dance… https://t.co/n2vUSVDCEn",0,Hootsuite Inc.,
Megan Oddsen,15288814,"Los Angeles, CA",2023-01-23 04:39:10,"Today we celebrated Korean, Vietnamese and Chinese Lunar New Year and Seollal with friends and neighbors. My heart… https://t.co/YMrFz0thBP",0,Twitter for iPhone,
2hatss ⚔️,1291440740631842816,Los Angeles,2023-01-23 04:37:34,"$CHOW 

A Chinese dog that was born on the Chinese New Year… 🤔 

200k mc. Find your entry but here should fine eith… https://t.co/RV3EUdeCLA",3,Twitter for iPhone,
Abegail Cal,17764265,Los Angeles,2023-01-23 04:37:13,Happy Chinese New year 🧧 tell your people you love them ❤️,0,Twitter for iPhone,
mungo dick,1153811807628218368,"Los Angeles, CA",2023-01-23 04:30:54,Happy Chinese New Year https://t.co/svfgORllAa,0,Twitter for iPhone,
2hatss ⚔️,1291440740631842816,Los Angeles,2023-01-23 04:23:04,@CryptoPeltz $CHOW was born on the Chinese New Year 🐶 https://t.co/WQIpUFuW6i,3,Twitter for iPhone,
bgdaddylan,15536125,"La Mirada, CA",2023-01-23 04:14:08,Happy Chinese New Year 2023 https://t.co/CvrzLo2GGH,0,Instagram,
Erkin Sidick,1164622276563615744,"Los Angeles, California",2023-01-23 04:09:09,"@AzamatAlibek ""Chinese New Year cake"" made with ingredients including pork-fat. Sorry!",0,Twitter Web App,
Bruce Gordon Media,411837793,"Los Angeles, California, USA",2023-01-23 04:03:03,"HAPPY CHINESE / LUNAR NEW YEAR!!
.
Chinese New Year is the festival that celebrates the beginning of a new year on… https://t.co/thsLZkTinK",0,Twitter Web App,
Sofia Gutierrez,4445129123,"Newport Beach, CA",2023-01-23 03:46:47,"Celebrating the beauty and care given to sculpt, dance, and perform such magic and fun!! 💥 Happy Chinese New Year o… https://t.co/DIe37iSD3s",0,Instagram,"{'type': 'Point', 'coordinates': [-118.23925138, 34.06246352]}"
Assured Automotive,76453144,Southern Ontario,2023-01-23 03:35:05,Happy Chinese New Year from Assured Automotive! https://t.co/Fx8zBr7BjT,0,Twitter Web App,
jessica m,50560962,LA,2023-01-23 03:29:56,"mom: “don’t forget to eat noodles today since it’s chinese new year!”

me: “i forgot, was that for longer life?”

m… https://t.co/8PzeTn8KbU",0,Twitter for iPhone,
💜⚡️Brandon Nicholas Chau❤️⚡️,1360082420620435457,"Temple City, CA",2023-01-23 03:19:22,@creampuff_cow Happy Chinese New Year 🧧 Creampuff_Cow!,0,Twitter for iPhone,
赵纯,1236908013509677056,"Irvine, CA",2023-01-23 03:04:08,Today is the first day of the Chinese New Year ，I am grateful to the students for accompanying me through the first… https://t.co/f2Q3YWucgk,0,Twitter for iPhone,
Pure,1226635812688756740,,2023-01-23 02:50:34,Attended my first red carpet event for the launch of ChimeTV last night. It was an honor to be a part of this Asian… https://t.co/9snlPyftkR,0,Twitter for iPhone,
Carbonis.ETH,1468208307730980864,Earth,2023-01-23 02:46:51,@CouncilmanDing nice meet-up at first day Chinese new year with Mayor Tong Ding https://t.co/sSMv3qSlID,0,Twitter for iPhone,
Archdiocese of LA,1073000207049154560,"Los Angeles, CA",2023-01-23 02:44:26,.@ArchbishopGomez celebrated the Chinese New Year Mass this morning at St. Bridget Chinese Parish in Chinatown. Dur… https://t.co/SXZHRQkxI8,1,Twitter for iPhone,
Neptunian Woman's Club,1529485184,"Manhattan Beach, CA",2023-01-23 02:43:31,Great time @ Bingo this afternoon celebrating Chinese Lunar New Year! There were some very lucky winners! What a wo… https://t.co/j2LBsYBIKs,0,TweetDeck,
Lili Wang Lab,1312911424797044736,"Duarte, CA",2023-01-23 02:28:36,Happy Chinese Year of the Rabbit! Looking forward to a wonderful new year of research and fantastic new discoveries. https://t.co/rbsaG9lr81,0,Twitter for iPhone,
