username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Patricia Louie,1056928435,"Seattle, WA",2023-01-22 18:49:09,@tfliao Happy Chinese New Year!,0,Twitter Web App,
Jowee 💋,255858116,"Seattle, WA",2023-01-22 18:39:43,@Wolfe_RJ Eat lots of xiao long bao! Try their braised beef noodles/soup! Also make sure you go early enough coz it… https://t.co/YFmHfphjta,0,Twitter for iPhone,
Neighbourhood Solidarity with Unhoused Neighbours,1573881178960306176,"Victoria, British Columbia",2023-01-22 18:34:17,"Celebrate Lunar New Year in Canada's oldest Chinatown! #yyj

• Lion Dance Parade
• Kung Fu demonstrations

Sunday J… https://t.co/tNWPA9hZGF",0,Twitter for Mac,
Ani Straub,3131383706,"Seattle, WA",2023-01-22 18:25:44,@yoiamsamyo Happy Chinese New Year Sam from this Ox! Loved this ride! ✨,0,Twitter for iPhone,
Space_Case_Jase,1251891737879932928,"Tacoma, WA",2023-01-22 18:23:27,"bit weird. Zients supposedly means rabbit in Russian. Trying to avoid conscription in the Czar's army, a false name… https://t.co/44BuT15wUo",0,Twitter for Android,
Grant McKenzie,50148750,"Victoria, BC",2023-01-22 18:14:09,"Celebrated Rabbie Burns a bit early with a Haggis, Neeps &amp; Tattie pie from Fraser Orr Butcher. Mushy peas on the si… https://t.co/xHpSvk9ocL",1,TweetDeck,
Kuldip Sall,1977569774,"Abbotsford, British Columbia",2023-01-22 18:12:09,"Wishing you and your family a happy and prosperous Chinese New Year! #yearoftherabbit

Kuldip Sall… https://t.co/Eb8JZhCixA",0,Back At You,
Century 21 Queenswood Realty Ltd,916060515427786752,"Victoria, British Columbia",2023-01-22 18:03:15,Wishing you and your family a happy and prosperous Chinese New Year! #yearoftherabbit https://t.co/LbsdMuVzwQ,0,Back At You,
Tara Hearn,131720957,"Victoria, BC",2023-01-22 18:03:12,"Wishing you and your family a happy and prosperous Chinese New Year! #yearoftherabbit

Tara Hearn, PREC*
Century 21… https://t.co/0az5dR97AW",0,Back At You,
"Bellevue, Washington",19677939,"Bellevue, Washington",2023-01-22 18:01:35,"The Lunar New Year, also known as the Chinese New Year, is celebrated by many Asian cultures for good fortune, heal… https://t.co/6Yl8JSd8tg",2,Hootsuite Inc.,
Chris Markham,912543431498416129,"Victoria, British Columbia",2023-01-22 18:00:58,Wishing you and your family a happy and prosperous Chinese New Year! #yearoftherabbit https://t.co/DHXCwA9qZM,0,Back At You,
Victoria Women's Transition House (VWTH),414245306,"Victoria, BC",2023-01-22 18:00:51,"2023 is the Year of the Rabbit! Chinese New Year festivities are celebrated starting from  today, January 22nd. In… https://t.co/GiEhDnt2J0",0,Hootsuite Inc.,
Eldercare Navigators,973281500165648384,"Seattle, WA",2023-01-22 17:59:49,Chinese New Year is observed on the first new moon of the year. This signifies the passing of winter and onset of t… https://t.co/37FaNJNu6I,0,Instagram,
Flora Burns 💙💛🇺🇦🌻,1037873210753200129,"Seattle, WA",2023-01-22 17:51:08,Happy Chinese New Year 🧧 🐇 🐰 https://t.co/7aHZoLhkEy,0,Twitter for iPhone,
时邻Shilin,1092688891654463488,Home,2023-01-22 17:42:34,"@WolfSkullJack I'm not with my family this year but personally, I'm wearing red, hung up doublets and 福fu character… https://t.co/o7mASyAVIf",0,Twitter Web App,
Emerald Home,456998177,"Tacoma, WA",2023-01-22 17:30:30,"Happy Lunar New Year! 🧧🐇 We wish you luck, love, and health this Chinese New Year. #ChineseNewYear #LunarNewYear… https://t.co/YjtRHw1thy",0,Twitter Web App,
KentOnline,31101301,Kent,2023-01-22 17:20:30,There's been a huge rise in rabbits needing new homes - as lockdown pets get abandoned and people struggle with the… https://t.co/JKEkSshPt0,1,TweetDeck,
kmfm news,288993240,Kent,2023-01-22 17:20:00,There's been a huge rise in rabbits needing new homes - as lockdown pets get abandoned and people struggle with the… https://t.co/wEXsjwJf0Q,0,TweetDeck,
Kristian Sverre Uri,32289711,Seattle,2023-01-22 17:16:48,"Kung Hei Fat Choi. May the new year bring peace, joy, and comfort to you and your family. Read more… https://t.co/9jvG1eqoR3",0,Twitter for iPhone,
Everett Public Schools.WA,47747443,"Everett, Washington",2023-01-22 17:08:01,"To all our families and friends who celebrate the Lunar New Year, Happy Year of the Rabbit! Learn more at… https://t.co/lZznXp27Xr",5,Twitter Web App,
Allrecipes,180066380,"Seattle, WA",2023-01-22 17:04:09,"Happy Lunar New Year! 🐇
Cook up these festive foods, whether you're celebrating Chinese New Year, Vietnamese Tet, o… https://t.co/lnrVFoesxm",1,True Anthem,
CASCADIA Film Fest,828026099418292224,"Bellingham, WA",2023-01-22 17:01:31,"Happy Chinese New Year! 2023 is the year of the Water Rabbit, a symbol of longevity, peace, and prosperity in Chine… https://t.co/f3IaaSvX52",0,Loomly,
Abbotsford Community Foundation,136331932,"Abbotsford, British Columbia",2023-01-22 17:01:20,"🐇 Gung Hei Fat Choy!

The Lunar New Year or Chinese New Year marks the start of the Chinese calendar and is often c… https://t.co/Ox4jdA88wS",0,Hootsuite Inc.,
Genuine Alaska Pollock Producers,2717602597,"Seattle, WA",2023-01-22 17:01:05,"Happy Chinese New Year! Wishing you luck, love, and health. Try out this Asian Chopped @crab_classic Salad when you… https://t.co/tfDST91vXr",1,Hootsuite Inc.,
FPS_Piling,1377265315,Kent,2023-01-22 17:00:56,"Happy Chinese New Year from the FPS!

@FPS_Piling would like to wish everyone a Happy 
#ChineseNewYear – which begi… https://t.co/qWn7EV6YNX",0,Twitter Web App,
WCCMT,268441554,"Victoria, BC",2023-01-22 17:00:30,"Happy Lunar New Year!

Hoping that you have much joy, happiness and peace this upcoming year.

#wccmt #lunarnewyear… https://t.co/zSu2CTNrzv",0,Hootsuite Inc.,
Dave Piedrahita,2394933170,"Seattle, WA",2023-01-22 17:00:30,"🐉 Chinese New Year 🐉

Wishing you great happiness and prosperity.

Follow us on social media to learn more about… https://t.co/yRnJ6btAbc",0,Twitter Web App,
Albert Siochi,1605475030133256193,Seattle Washington ,2023-01-22 16:44:13,@ParisHilton happy Chinese new year’s Paris Hilton,0,Twitter Web App,
Renaissance Seattle,390185872,"Downtown Seattle, WA",2023-01-22 16:41:49,Staying at the Renaissance Seattle?  Discover Lunar New Year celebrations from Pier 62 to the Chinatown - Internati… https://t.co/vTmBT8aPfA,0,Sprinklr,
Jeff Miller,8253712,"Seattle, Washington USA",2023-01-22 16:22:41,Surprise visitor last night was the pastor from the Chinese Evangelical Church in our neighborhood bringing Lunar N… https://t.co/wh6yKLTTvx,0,TweetDeck,
Tommy Bauer (Duck and Starlight Glimmer Fan!!),1450105932,"Kirkland, WA",2023-01-22 16:06:53,Happy Chinese New Year everyone!! 🧧🧧🧧🎆🎆🎆🐉🐉🐉🇨🇳🇨🇳🇨🇳 #ChineseNewYear2023 https://t.co/O6io694RSW,7,Twitter for iPhone,
Windermere Shoreline,4217068274,"Shoreline, WA",2023-01-22 16:02:17,We wish you great happiness and prosperity this New Year. Here are some ways you can celebrate in the Greater Seatt… https://t.co/zQjNHkuRzc,0,Hootsuite Inc.,
Junior League of Seattle,64251265,"Seattle, WA",2023-01-22 16:00:21,Happy Year of the Rabbit! Wishing everyone a joyful and peaceful Chinese New Year. https://t.co/k1voU4kMBM,1,Buffer,
Andrew Kapust DDS,1433501820,"Olympia, WA",2023-01-22 16:00:07,"Chinese New Year Contest ends on Jan 31, 2023. Only 54 days left! The winner wins 100 points. Participants earn 2 p… https://t.co/MAgzR2INLD",0,PatientRewardsHub.com,
Mukilteo School District,1565037773601783808,"Everett, WA",2023-01-22 16:00:01,"Celebrated in numerous cultures around the world, the Lunar New Year symbolizes the beginning of a new year. It is… https://t.co/DbPn5Nc2ch",0,Twitter Web App,
Dingo,880822993848377345,SEA,2023-01-22 15:56:43,"A bun wishes you a Happy Chinese New Year!

#ChineseNewYear #HazeVFanArt #digitalart #furry https://t.co/YzRf8l6CB7",19,Twitter Web App,
kmfm news,288993240,Kent,2023-01-22 15:56:14,There's been a huge rise in rabbits needing new homes - as lockdown pets get abandoned and people struggle with the… https://t.co/ANmkVl1aax,0,TweetDeck,
Silver Reef Casino Resort,702173368716382209,"Ferndale, WA",2023-01-22 15:45:13,Happy Chinese New Year! You can win up to $500 Silver Dollars by stopping by any kiosk from 8am until 10pm today! https://t.co/4pU6O9FGcg,0,Hootsuite Inc.,
Silkytofu,1199191686779265024,"Seattle, WA",2023-01-22 15:37:05,"@NewYorkStateAG It's concerning that this mass shooting occurred on the eve of the Chinese New Year, and that Monte… https://t.co/5S3JTw0Vg6",0,Twitter for Android,
Seattle Nanny,987689383,"Kirkland, WA",2023-01-22 15:19:30,"Wishing you prosperity and health this Chinese New Year. 🐰

#seattlenannynetwork #snn #nannylife #seattlejobs… https://t.co/jbH2ZYvAmt",0,Twitter Web App,
Allrecipes,180066380,"Seattle, WA",2023-01-22 15:04:08,"Celebrate Chinese New Year with this selection of traditional and symbolic dishes, including dumplings, bao, whole… https://t.co/O3goXUXGhH",2,True Anthem,
Pauline Ann Castro,1581812578346729473,Tacoma ,2023-01-22 14:47:59,"Happy Chinese New Year 🐇🐇🐇

#nowhop #likeabunny #hophophop 🤦🏽‍♀️#rabbit #1987",0,Twitter for Android,
Gutmann Laboratory,1079210348639596544,Washington University,2023-01-22 14:23:07,Happy Chinese New Year! https://t.co/mNL0l07gl1,2,Twitter for Android,
Kingsgate Dental,713219500124938240,"Kirkland, WA",2023-01-22 14:07:50,"Wishing you peace, prosperity, and longevity as the lunar new year begins. Happy Chinese New Year from  Kingsgate D… https://t.co/mHsuLtaxqt",0,EkwaSocial,
Kingsgate Dental,713219500124938240,"Kirkland, WA",2023-01-22 14:07:48,"Wishing you peace, prosperity, and longevity as the lunar new year begins. Happy Chinese New Year from  Kingsgate D… https://t.co/KI0yVo6pkP",0,EkwaSocial,
Soaring Sky,1091685822087286784,"Seattle, WA",2023-01-22 14:03:45,Happy Chinese new year!Good luck! https://t.co/EXbRY3cGg8,0,Twitter for iPad,
Dr Habib Naqvi MBE,399651777,National,2023-01-22 14:01:26,@NHS_RHO A very happy Chinese New Year to all those celebrating 🐇 #YearOfTheRabbit,1,Twitter for iPhone,
Sell on Amazon,2902435381,"Seattle, WA",2023-01-22 14:00:38,"To celebrate the Chinese New Year, we are sharing how Joyce Zhu and her mom, Jane, created @NumaFoods, a snack comp… https://t.co/ftoFQgKRDa",0,Sprinklr,
Olympia Orthopaedic Associates,608258828,"Olympia, WA",2023-01-22 14:00:01,#TeamOOA wishes you a Happy Lunar New Year (also known as Chinese New Year) This year is the Year of the Rabbit - T… https://t.co/oemAQhycSE,0,HubSpot,
Sharon,779403753216585729,"Mount Vernon, WA",2023-01-22 13:30:17,"Happy Chinese New Year 2023!
2023 is the Year of the Rabbit.  The Rabbit is a sign of
longevity, peace and prosperi… https://t.co/LLa8m26LUx",0,Lightersideofrealestate,
Rezu Chowdhury 🇬🇧🇧🇩,4581054941,Kent,2023-01-22 12:36:12,"Happy Chinese New Year! 🧧
(Gung Hay Fat Choy)
新年快乐
Since its the Chinese new year might as well get some Dim sums! https://t.co/A7bzagrKNA",0,Twitter for iPhone,
Kalypso Media,107178219,"Seattle, WA",2023-01-22 12:22:30,"🎇 Happy Chinese New Year! 新年快乐! 🎇

🐇 May the year of the rabbit bless you with health and happiness (and the new fr… https://t.co/AGHyjAAGNz",1,TweetDeck,
Maureen O'Brien O'Reilly,1289297955481157632,Seattle,2023-01-22 11:46:15,@paulbullen @RnaudBertrand we in the US tagged the Chinese New Year.  In China we celebrated the Spring Festival,0,Twitter Web App,
Tamer Y. Abouzeid,1112725735544930305,"Seattle, WA",2023-01-22 11:33:23,This is horrific. Large mass shooting following one of the largest lunar new year celebrations in the country in a… https://t.co/mVG97UPbeq,1,Twitter Web App,
angela frances bah,2464554291,rochester kent ,2023-01-22 11:31:51,Happy Chinese New year . #YearOfTheRabbit #kungheifatchoi . https://t.co/GZkSKXTEBx,0,Twitter for Android,
Echo Pang,756663035742130177,"Seattle, WA",2023-01-22 11:25:42,"@Cecilia16673235 @NewJeans_ADOR Lunar calendar is a Chinese systematic chronology. Not only P.R.China has Chinese,… https://t.co/PuXeeCWfhg",0,Twitter for iPhone,
Henry Jeffreys,19284077,Kent,2023-01-22 11:19:11,Why has Chinese new year been rebranded as lunar new year?,0,Twitter Web App,
Ten thousand times the bitterness,1248823682123722754,home ,2023-01-22 10:44:24,@RuyyyyyyC Happy Chinese New Year!,0,Twitter for Android,
MSN,15856435,"Redmond, WA, USA",2023-01-22 10:40:22,"Mass shooting at Chinese Lunar New Year celebration in Monterey Park, California - reports https://t.co/9MM5EPCT2Q",1,OxfordBlue-Twitter,
Tom Mitchell,18644987,Kent,2023-01-22 10:40:11,Happy Chinese New Year to my many Chinese fans.,0,Twitter for iPhone,
Like Rst ✊☠,1083093290461945861,Somewhere beyond the sea,2023-01-22 10:36:07,At least 9 people killed in #California in a shooting during the celebrations of the #Chinese new year. The issue o… https://t.co/dyz6qLYoyl,0,Twitter for Android,
febi,2394298356,home,2023-01-22 10:17:24,"@AmiciaMichella Happy Chinese New Year
🧧🧧🧧",0,Twitter for Android,
Ingeus UK,138040551,National,2023-01-22 10:01:20,"Happy Chinese New Year! 🐇 It's the year of the rabbit which symbolises longevity, positivity, auspiciousness, witti… https://t.co/qim1wK1tY6",0,Hootsuite Inc.,
The Old High Street Intra Medway,1519682604483686403,"Medway, Kent",2023-01-22 10:00:50,"Happy Chinese New Year! 🐇 

Celebrate with a Chinese meal from #TheOldHighStreetIntra 
Our fantastic Chinese restau… https://t.co/vFknNdCBNv",0,Hootsuite Inc.,
LUKIZ.🏆,1564668417281515520,Home,2023-01-22 09:23:01,"I've applied for BunnyList to join in the celebration of the Chinese New Year Festival. 

Join me in celebrating wi… https://t.co/O12boox1xW",0,Twitter Web App,
Brett Glasow,898414628299874304,"Kent, WA",2023-01-22 09:22:33,HAPPY CHINESE NEW YEAR EBEBADIII! https://t.co/YDLUawbmFp via @YouTube,0,Twitter Web App,
madeleine masterson,352565819,By the Sea,2023-01-22 09:12:58,Reports of mass shooting following Chinese New Year celebrations in Los Angeles https://t.co/azwWOSbOR1,0,Twitter for iPhone,
Nicholas Wong (黄棟庭),212392098,"Victoria, BC",2023-01-22 09:08:27,@KeaweWong Yes! Happy Chinese New year! 🐇 #ChineseNewYear #ChineseNewYear2023,0,Twitter for Android,
Hamza AKCB,1098377228453330945,Home,2023-01-22 09:04:19,"I've applied for BunnyList to join in the celebration of the Chinese New Year Festival. 

Join me in celebrating wi… https://t.co/hWcP1P4Hnc",0,Twitter for iPhone,
Three R's Teacher Recruitment,390722450,Kent,2023-01-22 09:00:02,"Happy Chinese New Year! 🐇

#Teachers #KentTeach #ChineseNewYear https://t.co/dJDTsUgVyY",0,Adobe Express,
Nicholas Wong (黄棟庭),212392098,"Victoria, BC",2023-01-22 08:40:36,@SecBlinken It's CHINESE new year. It originated from China.,6,Twitter for Android,
Hello From This Vale of Sorrows!,13293762,"Seattle, WA",2023-01-22 08:17:31,the best thing about chinese new year is NEW MADAME PING LORE in genshin,0,TweetDeck,
Michelle Koon,516041757,"Marysville, WA",2023-01-22 08:04:21,📷 yuumei-art: Every Chinese New Year I wonder if it’s a time of celebration or time of mourning. Some years I’m abl… https://t.co/jDxhQZILnZ,0,Tumblr,
Learning & Enterprise College Bexley,1125435349,"Bexleyheath, Kent",2023-01-22 08:00:33,LECB wishes all our learners health and happiness this Chinese New Year! 🐇🎉 https://t.co/n3CvDADhWE,0,Hootsuite Inc.,
Juniorclaw,4659077947,"Seattle, WA",2023-01-22 07:54:46,"Lunar New Year! Year of the Rabbit 🐇 The sign of Rabbit is a symbol of longevity, peace, and prosperity in Chinese… https://t.co/yTQdQ4kTmK",0,Twitter Web App,
Larry Winston,35255990,Seattle,2023-01-22 07:30:01,"=O.K. 'Lil Boo😙 . . The Time, Has Come, To Say, ""¡GoodNight!🌙"" Did you say it? Think LOUDERRRR so I can hear-ya! .… https://t.co/Fs8mVsCI4H",0,Twitter for Android,
Gronano Banano,956289240786198531,Pineapple Island,2023-01-22 07:25:56,Happy Chinese New Year🐰 https://t.co/rCQby6CdS7,1,Twitter for iPhone,
Teppiitep☀️🌻🐻🐵,1422547871727984641,HOME,2023-01-22 07:19:11,"HAPPY CHINESE NEW YEAR 🥳🐰
May the new year be filled with joy, prosperity,luck, health, wealth, love and many happy… https://t.co/BZNAg6vd50",0,Twitter for Android,
YUAN,1524326934460518402,home ,2023-01-22 07:06:25,"Happy Chinese New Year!!
#INTO1 https://t.co/2z7QLXMTBM",0,Twitter for Android,
Cafe Cosmos,1093174600219803648,"Seattle, WA",2023-01-22 06:59:43,"W/the first new moon of 2023, we celebrate the Lunar New Year. Happy Chinese New Year! Gong hei fat choy! Gong xi f… https://t.co/Y8PKx9gr2I",1,Twitter Web App,
Morgal Tuno,64459782,KENT,2023-01-22 06:27:45,@Daviemoo @theonlywayisup Chinese New Year you old git.,0,Twitter for Android,
weitengchen,811840156378402816,"Redmond, WA",2023-01-22 06:18:57,@pkqzy888 Happy Chinese new year!,0,Twitter for iPhone,
ajibtoo ™,1231917942717026304,Bora Bora Island,2023-01-22 05:36:14,@CeddyOrNot Happy Chinese New Year Ceddy.,0,Twitter for Android,
铭蒂石 MintyIshi,1515507974814507009,Home ,2023-01-22 05:29:53,@EdenBetelgeuse Happy Chinese New Year!,0,Twitter for Android,
菁菁乐道（lydia),1597096608973217792,"Seattle, WA",2023-01-22 05:26:43,Happy Chinese New Year ! 🧧 https://t.co/7Sewq3ndk0,0,Twitter for iPhone,
Heartdub,1471959948451999751,"Seattle, WA",2023-01-22 04:50:14,Happy Chinese New Year 🎊 https://t.co/tNOuzP2AAV,0,Twitter for iPhone,
Atashi@Sakura-Con 2023,47794661,"Seattle, WA",2023-01-22 04:47:41,"Happy Chinese New Year! 🧧🧨🎉

I tried to steam a fish-shaped rice cake but the lucky carp turned into a sad halibut https://t.co/Pt5zA6ih8Z",2,Twitter for Android,
Nicholas Wong (黄棟庭),212392098,"Victoria, BC",2023-01-22 04:45:55,Chinese New Year Eve's dinner with the family. 😋 #ChineseNewYearEve #ChineseNewYear #ChineseNewYear2023 https://t.co/lFDfDFSKkS,0,Twitter for Android,
TheScentofaMan ⚽,287524481,"Seattle, WA",2023-01-22 04:44:05,@EyeOfJackieChan Happy Chinese New Year JC 🇮🇳 https://t.co/MDZncZqTMK,0,Twitter for Android,
Hsien Young,37259982,,2023-01-22 04:30:43,@MOFA_Taiwan it’s Chinese new year to you,0,Twitter for iPhone,
Red Dove Development,1063732454,"Sooke, British Columbia",2023-01-22 04:02:52,"Happy Chinese New Year. Wishing all that celebrate a happy, healthy and prosperous 2023. https://t.co/7MWth10tvy",0,Twitter Web App,
Marie 📷🕊,1363510144097611778,"Tacoma, WA",2023-01-22 04:02:20,"🏮🐰Happy Chinese 
          New Year, everyone!🐰🏮                                        #HappyLunarNewYear… https://t.co/aRnAKdtvEv",0,Twitter for iPad,
zel 🍂,1382682344226656256,N-City,2023-01-22 03:41:49,"happy chinese new year, love! i miss youuu https://t.co/B8C2BtNGUT",0,Twitter for iPhone,
KV 🇸🇪🇺🇸,760270998423744512,"Seattle, WA",2023-01-22 03:33:16,@blake9517 @MikeZalensky @SeattleKraken Themed sweater for the lunar new year designed by one of our local Taiwanes… https://t.co/nDeKQD2shn,0,Twitter for iPhone,
Keenan Knight 🦊🦄,486965179,"Shelton, WA",2023-01-22 02:00:17,@Cr72Kamitake Happy Chinese New Year 🐇 cute Bunnies 😍,0,Twitter for Android,
vhienny,1337410007730507776,"Seattle, WA",2023-01-22 01:46:04,@BTS_twt_VKTH Happy Chinese New Year my baby V,0,Twitter for iPhone,
⭐️,1051378975623315456,"Seattle, WA",2023-01-22 01:42:47,"@jkmaknaeforever @Revelmoo1 @soompi lay, a Chinese man also called it Chinese new year lmaoo https://t.co/4zfrkYWRXD",0,Twitter for iPhone,
Ten thousand times the bitterness,1248823682123722754,home ,2023-01-22 00:57:41,@patrickdextervc Happy Chinese New Year!,0,Twitter for Android,
Pendy,1471030367897354246,"Seattle, WA",2023-01-22 00:56:57,"@cluewoof So, on Chinese New Year, the older generation will give the currentyoungest generation money in these red… https://t.co/z90Am9kFNn",0,Twitter for iPhone,
Ten thousand times the bitterness,1248823682123722754,home ,2023-01-22 00:56:51,@cyclingbaba Happy Chinese New Year!,0,Twitter for Android,
Ten thousand times the bitterness,1248823682123722754,home ,2023-01-22 00:56:39,@saorikiyomi Happy Chinese New Year!,0,Twitter for Android,
